prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
283 955 zł,"29,89 m²",Nowe Mieszkanie na Osiedlu Architektów A2.3.M75,1,do wykończenia,Współrzędne dokładne,"Rzeszów, Staroniwa, ul. Architektów",50.019516,21.971814,3/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"35,8 m²",Ustawny Apartament M235,1,do wykończenia,Współrzędne dokładne,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto",50.029344,22.007265,4/13,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
326 000 zł,"40,81 m²",Osiedle Olbrachta - Budynek nr 6 - Domex Rzeszów,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
846 000 zł,94 m²,❤️Ostatni etap - Dwupoziomowe - nie przegap!,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Urocza 10",50.01519,22.00391,3/4,Zapytaj,Zapytaj,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,pierwotny
Zapytaj o cenę,"124,9 m²",Piękne Mieszkanie 5-pok Nowe Osiedle ul. Miła | 14,5,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Miła",49.99936,22.005007,4/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
170 000 zł,31 m²,Nowe mieszkanie w Bieszczadach nad Sanem 31 mk,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Łączki, leski, podkarpackie",49.451,22.34706,2/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,brak informacji,teren zamknięty,cegła,pierwotny
350 000 zł,56 m²,Nowe mieszkanie w Bieszczadach nad Sanem 56 mk,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Łączki, leski, podkarpackie",49.451,22.34706,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,brak informacji,teren zamknięty,cegła,pierwotny
659 000 zł,"85,81 m²",Mieszkanie 4 pokojowe - osiedle Dworzysko,4,do zamieszkania,Współrzędne dokładne,"Dworzysko, Rzeszów, Rzeszów",50.03351,22.00463,parter/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,brak informacji,brak informacji,pustak,pierwotny
629 000 zł,"85,81 m²",Mieszkanie na nowym osiedlu - Dworzysko,4,do zamieszkania,Współrzędne dokładne,"Dworzysko, Rzeszów, Rzeszów",50.03351,22.00463,parter/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,brak informacji,brak informacji,pustak,pierwotny
479 500 zł,"68,5 m²",Gotowe 4 pokoje - stan deweloperski z Ogrodem 1ar,4,do wykończenia,Współrzędne dokładne,"ul. Miejska , Rzeszów, Rzeszów",49.99215,21.98312,parter/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2022-12-31,2022,szeregowiec,nie,internet,"drzwi / okna antywłamaniowe, domofon / wideofon",pustak,pierwotny
535 500 zł,"68,55 m²","Przestronne, 4 pokoje, balkon-Lubelska",4,do wykończenia,Współrzędne dokładne,"ul. Lubelska , Rzeszów, Rzeszów",50.072582,22.022081,parter/8,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
445 300 zł,"56,1 m²",3 pokoje|przestronny balkon|Lubelska,3,do wykończenia,Współrzędne dokładne,"ul. Lubelska , Rzeszów, Rzeszów",50.072582,22.022081,parter/8,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
407 235 zł,"47,91 m²",Apartament gotowy do odbioru Kielanówka,2,do wykończenia,Współrzędne dokładne,"Kielanówka, rzeszowski, podkarpackie",50.022658,21.937037,3/4,"0,01 zł",pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,pierwotny
831 895 zł,"97,87 m²",Przestronny apartament z odbiorem marzec 2023,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Staroniwa, ul. Staroniwska",50.025393,21.939698,3/4,"0,01 zł",Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,brak informacji,pustak,pierwotny
445 000 zł,"102,87 m²","Rzeszów, mieszkanie w zabudowie szeregowej",4,Zapytaj,Współrzędne dokładne,"ul. Porąbki , Rzeszów, Rzeszów",49.969726,21.965417,Zapytaj,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
489 855 zł,"57,63 m²",3-pokojowe mieszkanie z odbiorem marzec 2023,3,do wykończenia,Współrzędne dokładne,"Staroniwa, Rzeszów, Rzeszów",50.022521,21.936908,4/4,"0,01 zł",pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,"telewizja kablowa, internet, telefon",monitoring / ochrona,brak informacji,pierwotny
449 000 zł,"102,87 m²","Rzeszów, Zielone Porąbki",4,Zapytaj,Współrzędne dokładne,"ul. Porąbki , Rzeszów, Rzeszów",49.969726,21.965417,Zapytaj,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
399 000 zł,"102,87 m²","Rzeszów, dwupoziomowe mieszkanie z garażem",4,Zapytaj,Współrzędne dokładne,"ul. Porąbki , Rzeszów, Rzeszów",49.969726,21.965417,Zapytaj,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,pustak,pierwotny
"349 032,50 zł","46,85 m²",Mieszkanie z własnym ogródkiem w cichej okolicy,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
520 000 zł,83 m²,83m2 Mieszkanie 1 piętro Duzy balkon Rzeszów,4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Rzeszów, Rzeszów, podkarpackie",50.036751,22.027303,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,1992,blok,nie,"telewizja kablowa, internet",brak informacji,cegła,pierwotny
432 403 zł,"39,67 m²",2 pokoje | Panorama Kwiatkowskiego | NOWY budynek,2,do wykończenia,Współrzędne dokładne,"ul. Eugeniusza Kwiatkowskiego , Rzeszów, Rzeszów",50.007496,22.000689,3/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
577 500 zł,"57,75 m²",GOTOWE mieszkanie - ODBIERZ klucze! Sprawdź!,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Władysława Grabskiego",50.01258,21.99599,1/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
687 150 zł,"76,35 m²",Niedługo oddanie - samowystarczalne osiedle!,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Słocina, ul. Ignacego Paderewskiego",50.02725,22.039701,2/10,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
1 259 550 zł,"139,95 m²",❤️Urocze osiedle - Dwupoziomowe - nie przegap!,5,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Urocza 10",50.01519,22.00391,3/4,Zapytaj,Zapytaj,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
288 705 zł,"30,39 m²",Wygodne Mieszkanie na Osiedlu Architektów A2.0.M60,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Staroniwa, ul. Architektów",50.019516,21.971814,parter/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"35,6 m²",Kompaktowy Apartament M237,1,do wykończenia,Współrzędne dokładne,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto",50.029344,22.007265,4/13,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
326 000 zł,"40,78 m²",NOWA INWESTYCJA Osiedle Olbrachta - Domex Rzeszów,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet",domofon / wideofon,pustak,pierwotny
419 140 zł,"44,12 m²",Ostatni etap - nowe układy i metraże! NIE PRZEGAP!,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Urocza 10",50.01519,22.00391,parter/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
Zapytaj o cenę,"83,37 m²",Duże Mieszkanie 4-pok Osiedle KWADRAT ul Miła | 34,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Miła",49.99936,22.005007,4/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
399 000 zł,"60,15 m²","Mieszkanie, 60,15 m², Stalowa Wola",4,do wykończenia,Współrzędne dokładne,"ul. Jana Zamoyskiego , Stalowa Wola, stalowowolski",50.538124,22.084522,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2022-08-01,2022,szeregowiec,nie,"telewizja kablowa, internet, telefon",brak informacji,cegła,pierwotny
299 000 zł,50 m²,Mieszkanie bezczynszowe z fotowoltaiką - os Biała,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Biała, ul. kard. Karola Wojtyły",49.989122,22.011983,1/1,Zapytaj,pełna własność,taras,Zapytaj,brak informacji,2022,dom wolnostojący,nie,brak informacji,brak informacji,pustak,pierwotny
378 000 zł,64 m²,"Mieszkanie 3 pokojowe z garażem, Ustrzyki Dolne",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Ustrzyki Dolne, bieszczadzki, podkarpackie",49.43055,22.60287,parter,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",pustak,pierwotny
277 324 zł,"33,82 m²",Zachód 2 Pokoje 33-43 m2 | 1-12 piętra Ogródki,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Rzeszów, Rzeszów, podkarpackie",50.04152,22.00953,10/12,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,monitoring / ochrona,brak informacji,pierwotny
411 000 zł,"58,14 m²",3 pokoje z ogródkiem Dworzysko,3,do wykończenia,Współrzędne dokładne,"ul. Dworzysko , Rzeszów, Rzeszów",50.062462,21.94336,parter/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,blok,nie,internet,brak informacji,brak informacji,pierwotny
389 000 zł,"54,42 m²",3 pokoje z balkonem Dworzysko,3,do wykończenia,Współrzędne dokładne,"ul. Dworzysko , Rzeszów, Rzeszów",50.062462,21.94336,1/1,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,internet,brak informacji,brak informacji,pierwotny
Zapytaj o cenę,"54,51 m²",Tatarska 4 | apartament BP3.M-07,3,do wykończenia,Współrzędne dokładne,"Przemyśl, Zniesienie, ul. Tatarska 4",49.777973,22.769249,parter/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
384 000 zł,"54,88 m²",mieszkanie 3 pokojowe z ogródkiem/kom.lok,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Krakowska",50.061386,21.937363,parter/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet, telefon","teren zamknięty, monitoring / ochrona",pustak,pierwotny
389 000 zł,"61,65 m²",62m2-niska zabudowa,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Krakowska",50.061386,21.937363,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, monitoring / ochrona",pustak,pierwotny
373 752 zł,"42,96 m²",Ustawne Mieszkanie Osiedle Architektów A3.0.M100,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Staroniwa, ul. Architektów",50.019516,21.971814,parter/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
289 085 zł,"30,43 m²",Mieszkanie na Osiedlu Architektów A3.1.M104,1,do wykończenia,Współrzędne dokładne,"Rzeszów, Staroniwa, ul. Architektów",50.019516,21.971814,1/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
307 156 zł,"45,17 m²",Przestronne i praktyczne / Nowe osiedle w budowie,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
492 875 zł,"78,86 m²",Apartament z dużym tarasem i garażem gratis,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,2/2,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
"339 143,50 zł","49,51 m²",Najtańsze 3 pokojowe z miejscem w garażu GRATIS,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
319 736 zł,"47,02 m²",Słoneczne | przestronne | komfort i cisza,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
496 900 zł,"68,75 m²",Przestronne 4 pokojowe mieszkanie-Lubelska,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Rzeszów, podkarpackie",50.05247,22.00405,parter/8,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
331 200 zł,"37,95 m²",2 pokoje|duży balkon|Lubelska,2,do wykończenia,Współrzędne dokładne,"ul. Lubelska , Rzeszów, Rzeszów",50.072582,22.022081,parter/8,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
473 100 zł,"58,42 m²",Słoneczne|3 pokoje|balkon,3,Zapytaj,Współrzędne dokładne,"ul. Lubelska , Rzeszów, Rzeszów",50.072582,22.022081,parter/8,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,2023,blok,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
488 000 zł,"73,37 m²","4 pokoje, niska zabudowa przy ul. Krakowskiej!",4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Rzeszów, Rzeszów, podkarpackie",50.056814,21.963198,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,"telewizja kablowa, internet",brak informacji,pustak,pierwotny
399 000 zł,"58,14 m²","3 pokoje, ul Krakowska z tarasem i ogródkiem 42 m2",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Rzeszów, Rzeszów, podkarpackie",50.056814,21.963198,parter/1,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,"telewizja kablowa, internet",brak informacji,pustak,pierwotny
377 000 zł,"54,42 m²","3 pokoje, niska zabudowa przy ul. Krakowskiej",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Rzeszów, Rzeszów, podkarpackie",50.056814,21.963198,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,nie,"telewizja kablowa, internet",brak informacji,pustak,pierwotny
431 844 zł,"40,74 m²",2 pokoje | Panorama Kwiatkowskiego | NOWY budynek,3,do wykończenia,Współrzędne dokładne,"ul. Eugeniusza Kwiatkowskiego , Rzeszów, Rzeszów",50.007496,22.000689,3/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
630 400 zł,"63,04 m²",GOTOWE mieszkanie - ODBIERZ klucze! Sprawdź!,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Władysława Grabskiego",50.01258,21.99599,1/8,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
465 000 zł,90 m²,90 m2 Rumiankowa OKAZJA,4,do zamieszkania,Współrzędne dokładne,"ul. Władysława Szafera , Mielec, mielecki",50.294739,21.462689,1/1,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",pustak,pierwotny
Zapytaj o cenę,"43,85 m²",Wygodny Apartament M34,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto",50.029344,22.007265,5/13,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
420 000 zł,"56,1 m²",Budynek nr 6 - Osiedle Olbrachta - Domex Rzeszów,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Wilkowyja, ul. Jana Olbrachta",50.034645,22.069958,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,pustak,pierwotny
Zapytaj o cenę,"92,58 m²",Duże Mieszkanie 4-pok Osiedle KWADRAT ul Miła | 33,4,do wykończenia,Współrzędne dokładne,"Rzeszów, Drabinianka, ul. Miła",49.99936,22.005007,3/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
459 000 zł,"71,45 m²","Apartamenty Villapark Stalowa Wola, ul. Zamoyskieg",4,do wykończenia,Współrzędne dokładne,"ul. Jana Zamoyskiego , Stalowa Wola, stalowowolski",50.538124,22.084522,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2022-08-01,2022,szeregowiec,nie,"telewizja kablowa, internet, telefon",brak informacji,cegła,pierwotny
285 000 zł,53 m²,"Nowe apartamenty w Dębicy, ogródki, tarasy, NATURA",2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Straszęcin, dębicki, podkarpackie",50.06314,21.35924,Zapytaj,Zapytaj,Zapytaj,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
635 766 zł,"92,14 m²",Dwupoziomowe z dwoma miejscami postojowymi,4,do wykończenia,Współrzędne dokładne,"ul. Eugeniusza Kwiatkowskiego , Rzeszów, Rzeszów",50.019625,22.003906,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,2023-10-31,2023,szeregowiec,nie,brak informacji,domofon / wideofon,pustak,pierwotny
347 021 zł,"46,58 m²",Wyjątkowe mieszkanie z tarasem | garaż i komórki,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
"399 262,50 zł","59,15 m²",Mieszkanie z ogrodem + miejsce w garażu gratis,3,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,parter/2,Zapytaj,spółdzielcze wł. z KW,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",brak informacji,żelbet,pierwotny
307 088 zł,"45,16 m²",Przestronne i komfortowe mieszkanie | Dębicka,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
"349 032,50 zł","46,85 m²",Mieszkanie z własnym ogródkiem w cichej okolicy,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
304 980 zł,"44,85 m²",Mieszkania w niskiej cenie | plac zabaw dla dzieci,2,do wykończenia,Współrzędne dokładne,"Rzeszów, Przybyszówka, ul. Dębicka",50.035583,21.896929,2/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,blok,tak,"telewizja kablowa, internet",domofon / wideofon,żelbet,pierwotny
