prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
389 000 zł,60 m²,"Białostoczek, 3 pokoje, I piętro 389 000 zł",3,do remontu,Współrzędne dokładne,"Białystok, Białostoczek, Radzmińska",53.1449,23.14979,1/10,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
539 000 zł,72 m²,"Mieszkanie, 72 m², Białystok",4,do zamieszkania,Współrzędne dokładne,"Białostoczek, Białystok, Białystok",53.145378,23.152032,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1986,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
539 000 zł,72 m²,"Mieszkanie, 72 m², Białystok",4,do zamieszkania,Współrzędne dokładne,"Białostoczek, Białystok, Białystok",53.145378,23.152032,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1986,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
498 000 zł,"65,2 m²","Mieszkanie, 65,20 m², Białystok",2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Nowe Miasto, Białystok, Białystok",53.10582,23.12127,parter/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
499 000 zł,"64,2 m²","Dolina Cisów, Wasilków, 3 pokoje.",3,do zamieszkania,Współrzędne dokładne,"ul. Białostocka , Wasilków, białostocki",53.18215,23.18678,1/2,560 zł,pełna własność,balkon,garaż/miejsce parkingowe,2022-11-14,2015,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
549 000 zł,67 m²,"Apartament, Zamknięte Osiedle, Jp II",3,do zamieszkania,Współrzędne dokładne,"ul. Papieża Jana Pawła II , Suwałki, Suwałki",54.10956,22.935291,parter/3,731 zł,pełna własność,balkon,Zapytaj,2023-04-01,2013,blok,nie,brak informacji,brak informacji,cegła,wtórny
279 000 zł,28 m²,Kawalerka_Wygoda_nowy blok_2012 rok,1,do zamieszkania,Współrzędne dokładne,"Białystok, Wygoda, ul. Walentego Lewandowskiego",53.146966,23.17567,3/3,350 zł,pełna własność,balkon,Zapytaj,brak informacji,2012,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",cegła,wtórny
332 084 zł,"40,96 m²",Duo Apartamenty | mieszkanie A/2,2,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.165295,23.118647,parter/2,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,pierwotny
365 000 zł,"57,9 m²",Trzypokojowe mieszkanie do remontu.,3,do remontu,Współrzędne dokładne,"Białystok, Sienkiewicza, ul. Ciepła",53.142535,23.16657,3/4,453 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1989,blok,nie,brak informacji,brak informacji,cegła,wtórny
Zapytaj o cenę,"43,19 m²",M1 Osiedle Parkowa - kup z rabatem do 33 000 zł!,2,do wykończenia,Współrzędne dokładne,"ul. mjr. Jana Tabortowskiego , Grajewo, grajewski",53.6381,22.472824,1/5,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
535 000 zł,"56,08 m²",** Apartament * 1 Piętro * Wyższy Standard **,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesięciny, Białystok, Białystok",53.152734,23.125545,1/5,411 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,brak informacji,cegła,wtórny
328 000 zł,"46,5 m²",**Mieszkanie W Centrum Miasta***3 Pokoje***Parter,3,do zamieszkania,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.101353,22.936069,parter/4,620 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1980,blok,nie,brak informacji,monitoring / ochrona,cegła,wtórny
269 000 zł,"54,75 m²","OKAZJA !!!! TYLKO 269 000 zł Mieszkanie 54,75 m2",2,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zambrów, zambrowski, podlaskie",52.98537,22.24458,3/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
385 000 zł,"53,6 m²",Mieszkanie 3-pokojowe; ul. Bema,3,do zamieszkania,Współrzędne dokładne,"ul. gen. Józefa Bema , Zambrów, zambrowski",52.991084,22.248908,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1999,blok,nie,brak informacji,domofon / wideofon,brak informacji,wtórny
298 000 zł,"47,9 m²","2 pokojowe, funkcjonalny układ - os Dziesięciny",2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesięciny, Białystok, Białystok",53.154097,23.119797,4/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1980,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
565 000 zł,"56,08 m²",Wykończone mieszkanie z miejscem postojowym!!!,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesięciny, Białystok, Białystok",53.15358,23.13427,1/5,411 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,brak informacji,brak informacji,cegła,pierwotny
178 000 zł,19 m²,Kawalerka blisko centrum,1,do zamieszkania,Współrzędne dokładne,"Białystok, Młodych, ul. Gruntowa",53.13592,23.12284,1/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,2023-02-02,brak informacji,blok,nie,"telewizja kablowa, internet, telefon",brak informacji,cegła,wtórny
585 000 zł,75 m²,"4 pokoje, cegła, blisko centrum.",4,do zamieszkania,Współrzędne dokładne,"Białystok, Piaski, ul. Bolesława Chrobrego",53.13215,23.1822,3/4,Zapytaj,spółdzielcze własnościowe,balkon,garaż/miejsce parkingowe,2023-02-02,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
320 000 zł,37 m²,"2 pokoje, cegła, blisko centrum",2,do remontu,Współrzędne dokładne,"Białystok, Antoniuk, ul. Antoniukowska",53.14263,23.13442,3/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,2023-02-10,brak informacji,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,cegła,wtórny
465 000 zł,"51,8 m²","*3 Pok*Do Wejścia*51,80m2*",3,do zamieszkania,Współrzędne dokładne,"Zielone Wzgórza, Białystok, Białystok",53.12349,23.09507,3/3,350 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2004,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
459 000 zł,"54,1 m²","Przestronne mieszkanie,3pokoje,Sienkiewicza, cegła",3,Zapytaj,Współrzędne dokładne,"Sienkiewicza, Białystok, Białystok",53.140515,23.16184,2/3,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1972,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
519 000 zł,58 m²,"2 pokoje, cegła, blisko centrum",2,do zamieszkania,Współrzędne dokładne,"Białystok, Wygoda, ul. Walentego Lewandowskiego",53.14738,23.17633,4/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,2023-02-10,brak informacji,blok,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
400 000 zł,64 m²,"Mieszkanie do zamieszkania, Nowa Cena",3,do zamieszkania,Współrzędne dokładne,"os. Południe , Grajewo, grajewski",53.641963,22.461847,2/4,Zapytaj,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
218 387 zł,"35,51 m²",M38 Osiedle Parkowa – kup z rabatem do 33 000 zł!,2,do wykończenia,Współrzędne dokładne,"ul. mjr. Jana Tabortowskiego , Grajewo, grajewski",53.6381,22.472824,4/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,2023-08-31,2023,blok,tak,internet,domofon / wideofon,brak informacji,pierwotny
449 000 zł,80 m²,Przestronne mieszkanie na Nowym Mieście,4,Zapytaj,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Wiejska",53.11454,23.14457,5/5,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,cegła,wtórny
369 000 zł,"59,9 m²",Nowe Miasto* cegła* 3 osobne pokoje*,3,do remontu,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Kazimierza Pułaskiego",53.109616,23.130866,4/4,550 zł,pełna własność,balkon,Zapytaj,brak informacji,1995,blok,nie,brak informacji,brak informacji,cegła,wtórny
350 000 zł,"60,53 m²","Mieszkanie, 60,53 m², Łomża",3,do zamieszkania,Współrzędne dokładne,"ul. Księżnej Anny , Łomża, Łomża",53.166428,22.08711,3/4,"541,35 zł",spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1992,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
250 000 zł,"58,2 m²",Atrakcyjna lokalizacja . Mieszkanie w CENTRUM!!,3,do remontu,Współrzędne dokładne,"ul. Janusza Korczaka 6, Suwałki, Suwałki",54.105952,22.93459,4/4,649 zł,Zapytaj,balkon,Zapytaj,brak informacji,1975,blok,nie,"telewizja kablowa, internet",domofon / wideofon,pustak,wtórny
390 000 zł,"62,65 m²","3-pokojowe mieszkanie 62,65 m2 - Suwałki.",3,do zamieszkania,Współrzędne dokładne,"ul. Stanisława Moniuszki 3, Suwałki, Suwałki",54.119509,22.948849,4/4,796 zł,pełna własność,balkon,Zapytaj,brak informacji,1981,blok,nie,"telewizja kablowa, internet",domofon / wideofon,wielka płyta,wtórny
499 000 zł,55 m²,*3 pokoje*2 piętro*Sprawdź*,3,do zamieszkania,Współrzędne dokładne,"Nowe Miasto, Białystok, Białystok",53.10969,23.130854,2/3,520 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1998,blok,nie,brak informacji,"system alarmowy, monitoring / ochrona",cegła,wtórny
285 000 zł,49 m²,Mieszkanie dla młodej rodziny w centrum,2,Zapytaj,Współrzędne dokładne,"ul. Władysława Stanisława Reymonta , Łomża, Łomża",53.16465,22.06833,4/4,310 zł,Zapytaj,balkon,Zapytaj,2023-01-31,1976,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
452 000 zł,60 m²,***Świetna Lokalizacja Os. Sienkiewicza*** 3 Pokoj,3,do zamieszkania,Współrzędne dokładne,"Sienkiewicza, Białystok, Białystok",53.136347,23.162956,2/11,607 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,1985,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
299 000 zł,"47,7 m²","*Dobra Inwestycja, Czy Pierwsze Mieszkanie?*",2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesięciny, Białystok, Białystok",53.154097,23.119797,4/4,400 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
269 000 zł,"48,1 m²",2 pokojowe mieszkanie idealne pod inwestycję,2,do remontu,Współrzędne dokładne,"ul. gen. Władysława Andersa , Suwałki, Suwałki",54.123179,22.940212,4/4,530 zł,pełna własność,balkon,Zapytaj,brak informacji,1987,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
580 000 zł,"61,23 m²",Komfortowe M3 z oddzielną kuchnią w Dolinie Cisów!,3,do zamieszkania,Współrzędne dokładne,"ul. Białostocka , Wasilków, białostocki",53.18222,23.18595,1/4,550 zł,pełna własność,balkon,garaż/miejsce parkingowe,2022-08-01,2016,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
490 000 zł,"55,13 m²","Nowy blok z 2016r, 3 pokoje + m. postojowe",3,Zapytaj,Współrzędne dokładne,"ul. Sportowa , Suwałki, Suwałki",54.088797,22.934018,1/3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2016,blok,tak,brak informacji,monitoring / ochrona,cegła,wtórny
1 110 000 zł,"103,9 m²",Komfortowy apartament w świetnej lokalizacji,5,do zamieszkania,Współrzędne dokładne,"Białystok, Piaski, ul. Jerzego Waszyngtona",53.12508,23.15375,1/2,560 zł,pełna własność,taras,Zapytaj,brak informacji,2013,blok,tak,brak informacji,domofon / wideofon,cegła,wtórny
240 000 zł,32 m²,"2 Pokoje-świetna lokalizacja, do własnej aranżacji",2,Zapytaj,Współrzędne dokładne,"Białystok, Przydworcowe, ul. Stołeczna",53.13189,23.14012,4/4,400 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
445 440 zł,"46,7 m²",Ciepła 38 | nowe mieszkanie CP 170,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,4/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
499 380 zł,"57,4 m²",Ciepła 38 | nowe mieszkanie CP 154,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,3/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
501 380 zł,"58,8 m²",Ciepła 38 | nowe mieszkanie CP 141,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,2/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
330 270 zł,"32,7 m²",Ciepła 38 | nowe mieszkanie CP 306,1,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,4/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
327 000 zł,"32,7 m²",Ciepła 38 | nowe mieszkanie CP 297,1,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,3/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
354 000 zł,"50,6 m²",2 pokoje parter 50m2 po remoncie duzy balkon,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Białystok, Białystok, podlaskie",53.12988,23.16996,parter,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
350 000 zł,"54,4 m²",Komfortowe mieszkanie na pierwszym piętrze,3,do remontu,Współrzędne dokładne,"Białystok, Antoniuk, ul. Władysława Broniewskiego",53.139833,23.130284,1/4,540 zł,pełna własność,balkon,Zapytaj,brak informacji,1969,blok,nie,telewizja kablowa,domofon / wideofon,cegła,wtórny
345 000 zł,"48,2 m²","*48,2 m2* Nowa Cena*",2,do zamieszkania,Współrzędne dokładne,"Przydworcowe, Białystok, Białystok",53.130202,23.143603,7/11,550 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
445 000 zł,54 m²,"Mieszkanie 54m2, Lipowa, do remontu",2,Zapytaj,Współrzędne dokładne,"Białystok, Centrum, ul. Lipowa",53.133712,23.15135,3/3,570 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1955,kamienica,nie,brak informacji,brak informacji,brak informacji,wtórny
610 000 zł,67 m²,*Mieszkanie w centrum z potencjałem inwestycyjnym*,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Białystok, Białystok",53.12144,23.16864,4/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1955,kamienica,nie,brak informacji,brak informacji,brak informacji,wtórny
1 100 000 zł,"73,47 m²",Apartament z miejscem postojowym w cenie,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Białystok, Białystok",53.134642,23.154993,5/5,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2011,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,wtórny
358 000 zł,"70,68 m²",Mieszkanie 4-pokojowe! Okazyjna cena!,4,do remontu,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.119166,22.931864,4/4,730 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,1984,blok,nie,brak informacji,brak informacji,pustak,wtórny
434 500 zł,55 m²,Idealne dla rodziny lub do dalszego wynajmu!,3,do zamieszkania,Współrzędne dokładne,"Białystok, Sienkiewicza, ul. Walentego Lewandowskiego",53.1473,23.17557,4/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1998,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
460 350 zł,"46,7 m²",Ciepła 38 | nowe mieszkanie CP 210,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,7/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
441 540 zł,"44,7 m²",Ciepła 38 | nowe mieszkanie CP 208,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,7/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
272 420 zł,"25,8 m²",Ciepła 38 | nowe mieszkanie CP 200,1,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,7/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
528 080 zł,"57,4 m²",Ciepła 38 | nowe mieszkanie CP 196,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
339 000 zł,"33,9 m²",Ciepła 38 | nowe mieszkanie CP 194,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
339 000 zł,"33,7 m²",Ciepła 38 | nowe mieszkanie CP 193,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
437 080 zł,"47,6 m²",Ciepła 38 | nowe mieszkanie CP 191,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
270 900 zł,"25,8 m²",Ciepła 38 | nowe mieszkanie CP 190,1,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
474 320 zł,"48,6 m²",Ciepła 38 | nowe mieszkanie CP 189,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
394 020 zł,40 m²,Ciepła 38 | nowe mieszkanie CP 187,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
476 190 zł,"48,2 m²",Ciepła 38 | nowe mieszkanie CP 186,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
522 340 zł,"57,4 m²",Ciepła 38 | nowe mieszkanie CP 182,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
335 610 zł,"33,7 m²",Ciepła 38 | nowe mieszkanie CP 179,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
428 160 zł,"47,6 m²",Ciepła 38 | nowe mieszkanie CP 177,2,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
268 320 zł,"25,8 m²",Ciepła 38 | nowe mieszkanie CP 176,1,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
516 600 zł,"57,4 m²",Ciepła 38 | nowe mieszkanie CP 168,3,do wykończenia,Współrzędne dokładne,"ul. Ciepła , Białystok, Białystok",53.141028,23.167206,4/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
299 000 zł,"30,7 m²","To może być Twoje pierwsze ""M""",2,Zapytaj,Współrzędne dokładne,"Przydworcowe, Białystok, Białystok",53.131884,23.1367,4/10,300 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,tak,brak informacji,brak informacji,brak informacji,wtórny
369 000 zł,"32,51 m²",Nie zwlekaj - ta oferta czaka na Ciebie,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dziesięciny, Białystok, Białystok",53.15358,23.13427,3/6,300 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,brak informacji,cegła,wtórny
369 000 zł,"61,3 m²",* Dwustronne mieszkanie z 3 pokojami *,3,do remontu,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zielone Wzgórza, Białystok, Białystok",53.119843,23.095346,3/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
239 000 zł,"47,3 m²","3-pokojowe mieszkanie, ul. Reja",3,Zapytaj,Współrzędne dokładne,"ul. Mikołaja Reja , Suwałki, Suwałki",54.13087,22.93034,3/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
319 000 zł,"56,31 m²",Nowe Miasto*1p*56m2* 3 pokoje*,3,do remontu,Współrzędne dokładne,"Białystok, Białystok, podlaskie",53.107802,23.12493,1/1,560 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1992,brak informacji,nie,telefon,brak informacji,brak informacji,wtórny
