prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
Zapytaj o cenę,"40,68 m²",2-pokojowe mieszkanie 40m2 + balkon,2,do wykończenia,Współrzędne dokładne,"ul. Ks. Norberta Bończyka , Karłowice, lubański",51.13875,17.03838,parter/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"70,94 m²",4-pokojowe mieszkanie 70m2 + balkon Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Wrocław, Zakrzów, Danuty Siedzikówny",51.155638,17.125618,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"68,13 m²",3-pokojowe mieszkanie 68m2 + balkon Bezpośrednio,3,do wykończenia,Współrzędne dokładne,"Wrocław, Ołtaszyn, ul. Ułańska",51.052229,17.013879,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
259 038 zł,"33,21 m²",JUŻ OSTATNIE !!! - Poszukiwane Mieszkania 33 m2,2,do wykończenia,Współrzędne dokładne,"ul. Staroszkolna , Bolesławiec, bolesławiecki",51.268838,15.588319,1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
455 700 zł,"45,57 m²",2-pokojowe mieszkanie 45m2 + ogródek Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zatorska",51.15878,17.14519,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
683 199 zł,"66,33 m²",2-pokojowe mieszkanie 66m2 + taras Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Wrocław, Południe, ul. gen. Kazimierza Pułaskiego",51.099937,17.045763,8/8,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"86,36 m²",4-pokojowe mieszkanie 86m2 + balkon,4,do wykończenia,Współrzędne dokładne,"Wrocław, Ołtaszyn, ul. Ułańska",51.052229,17.013879,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
345 000 zł,"24,17 m²",Wykończona nowoczesna kawalerka tuż przy centrum,1,do zamieszkania,Współrzędne dokładne,"Wrocław, Wrocław, dolnośląskie",51.128426,17.045382,1/4,450 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",inne,pierwotny
381 632 zł,"42,88 m²",2-pokojowe mieszkanie 42m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Grodzieńska",51.138867,17.135979,parter/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
898 000 zł,"91,73 m²",Ogród 80 m2 • Pompa ciepła • Panele fotowoltaiczne,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Wrocław, Wrocław, dolnośląskie",51.10195,17.03667,parter,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,szeregowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",cegła,pierwotny
517 500 zł,"43,31 m²",Apartament na sprzedaż - Karpacz,3,Zapytaj,Współrzędne dokładne,"ul. Skalna , Karpacz, karkonoski",50.772,15.7707,parter/3,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,2023-09-30,2023,apartamentowiec,tak,brak informacji,"teren zamknięty, domofon / wideofon, rolety antywłamaniowe",cegła,pierwotny
380 236 zł,"39,84 m²",2 pokoje z garderobą • Oddanie 2023 • RABAT 60 tyś,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Jagodno, Wrocław, Wrocław",51.05494,17.06005,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",cegła,pierwotny
756 784 zł,"64,96 m²",3-pokojowy apartament 64m2 + 2 ogródki,3,do wykończenia,Współrzędne dokładne,"ul. Bernarda Belotta Canaletta , Wrocław, Wrocław",51.102293,17.118756,parter/2,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
898 000 zł,"92,13 m²",✬ Pompa ciepła + panele fot. ✬ RABAT 166 tyś zł,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Krzyki, Wrocław, Wrocław",51.07855,17.05319,parter/1,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2024,dom wolnostojący,nie,"telewizja kablowa, internet, telefon",drzwi / okna antywłamaniowe,pustak,pierwotny
333 600 zł,"27,8 m²",1-pokojowe mieszkanie 27m2 + balkon,1,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zatorska",51.15878,17.14519,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
395 210 zł,"39,56 m²",Blisko centrum • Oddanie w 2023 • RABAT,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Jagodno, Wrocław, Wrocław",51.05494,17.06005,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",cegła,pierwotny
463 500 zł,"42,91 m²",Apartamenty Karpacz - Sprzedaż,2,do wykończenia,Współrzędne dokładne,"ul. Skalna 26, Karpacz, karkonoski",50.772026,15.770748,parter/2,Zapytaj,pełna własność,taras,Zapytaj,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",cegła,pierwotny
390 000 zł,"40,9 m²",Inwestycyjnie • PROMOCJA • Klucze 2023,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Jagodno, Wrocław, Wrocław",51.05494,17.06005,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",cegła,pierwotny
445 000 zł,"72,64 m²","Nowe, bezczynszowe mieszkanie, 4 pok. 72,64 m2",4,do wykończenia,Współrzędne dokładne,"Bolesławiec, bolesławiecki, dolnośląskie",51.267569,15.525308,1/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,brak informacji,brak informacji,brak informacji,pierwotny
445 000 zł,"72,64 m²","Nowe, bezczynszowe mieszkanie, 4 pok. 72,64 m2",4,do wykończenia,Współrzędne dokładne,"Bolesławiec, bolesławiecki, dolnośląskie",51.267569,15.525308,1/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,brak informacji,brak informacji,brak informacji,pierwotny
504 960 zł,"38,4 m²",2-pokojowy apartament 38m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Ferdynanda Magellana",51.109209,17.12073,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
605 022 zł,"58,74 m²",3-pokojowe mieszkanie 58m2 + ogródek Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zatorska",51.15878,17.14519,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
405 000 zł,"34,43 m²",Cesja! 2-pok mieszkanie. Taniej niż u dewelopera,2,Zapytaj,Współrzędne dokładne,"Wrocław, Krzyki, Adama Kopycińskiego",51.05837,17.0512,parter/5,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
702 000 zł,"46,8 m²","apartament z tarasem w Szklarskiej Porębie 46,8 m2",2,Zapytaj,Współrzędne dokładne,"ul. Ludwika Waryńskiego , Szklarska Poręba, karkonoski",50.840873,15.553098,parter/1,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,brak informacji,pustak,pierwotny
776 000 zł,"48,5 m²","Mieszkanie, 48,50 m², Szklarska Poręba",2,Zapytaj,Współrzędne dokładne,"ul. Ludwika Waryńskiego , Szklarska Poręba, karkonoski",50.840873,15.553098,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,brak informacji,pustak,pierwotny
647 421 zł,"50,82 m²",ul. Drabika - mieszkanie po remoncie,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Jagodno, Wrocław, Wrocław",51.05494,17.06005,4/4,600 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
546 000 zł,42 m²,Polanica Park Apartamenty ul. Zdrojowa,2,do wykończenia,Współrzędne dokładne,"ul. Zdrojowa , Polanica-Zdrój, kłodzki",50.414163,16.510866,4/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,pierwotny
689 300 zł,115 m²,Nowe mieszkanie od dewelopera/3 pok.+antresola/2mp,4,do zamieszkania,Współrzędne dokładne,"ul. Jana Kilińskiego , Twardogóra, oleśnicki",51.36055,17.458588,1/1,1 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,internet,rolety antywłamaniowe,silikat,pierwotny
Zapytaj o cenę,"48,25 m²",2-pokojowe mieszkanie 48m2 + balkon,2,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zielna",51.142647,17.116403,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
249 376 zł,"92,43 m²","""Aleja Platanowa"" Nowe mieszkanie bez kredytu!",4,do zamieszkania,Współrzędne dokładne,"Wrocław, Ratyń, ul. Malczycka",51.146175,16.847729,1/3,1 200 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2025,apartamentowiec,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,beton komórkowy,pierwotny
109 863 zł,"40,72 m²","""Aleja Platanowa"" Nowe mieszkanie bez kredytu!",2,do zamieszkania,Współrzędne dokładne,"Wrocław, Ratyń, ul. Malczycka",51.146175,16.847729,1/3,529 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2025,apartamentowiec,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,beton komórkowy,pierwotny
101 849 zł,"37,75 m²","""Aleja Platanowa"" Nowe mieszkanie bez kredytu!",2,do zamieszkania,Współrzędne dokładne,"Wrocław, Ratyń, ul. Malczycka",51.146175,16.847729,3/3,430 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2025,apartamentowiec,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,beton komórkowy,pierwotny
393 800 zł,40 m²,NAJNIŻSZA cena| inwestycja | PARKING w CENIE!,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Jagodno, Wrocław, Wrocław",51.05494,17.06005,2/4,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,pierwotny
373 000 zł,41 m²,SUPER CENA! 0% prowizji | GARAŻ | wyjątkokwe TOP,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Krzyki, Wrocław, Wrocław",51.07855,17.05319,2/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,"teren zamknięty, domofon / wideofon",brak informacji,pierwotny
172 537 zł,"63,95 m²","""Aleja Platanowa"" Nowe mieszkanie bez kredytu!",3,do zamieszkania,Współrzędne dokładne,"Wrocław, Ratyń, ul. Malczycka",51.146175,16.847729,1/3,3 122 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2025,apartamentowiec,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,beton komórkowy,pierwotny
"381 584,32 zł","42,86 m²",Apartamenty Brama Do Natury,2,Zapytaj,Współrzędne dokładne,"Świeradów-Zdrój, lubański, dolnośląskie",50.928491,15.319256,parter/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,tak,brak informacji,brak informacji,brak informacji,pierwotny
733 165 zł,"66,2 m²",4-pokojowy apartament 66m2 + taras Bez Pośredników,4,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Ferdynanda Magellana",51.109209,17.12073,parter/3,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
"420 299,61 zł","41,74 m²",Apartamenty Brama Do Natury,2,Zapytaj,Współrzędne dokładne,"Świeradów-Zdrój, lubański, dolnośląskie",50.928491,15.319256,parter/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
330 510 zł,"47,9 m²","UNIKATOWA CENA - Nowe, Piękne Apartamenty 47,90 m2",2,do wykończenia,Współrzędne dokładne,"ul. Staroszkolna , Bolesławiec, bolesławiecki",51.266421,15.583083,1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
384 450 zł,"58,25 m²","UNIKATOWA CENA - Nowe, Piękne Apartamenty 58,25 m2",3,do wykończenia,Współrzędne dokładne,"ul. Staroszkolna , Bolesławiec, bolesławiecki",51.266421,15.583083,1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
259 443 zł,"64,06 m²",Piława Górna | PREFERENCYJNE warunki zakupu | A1,3,do zamieszkania,Współrzędne dokładne,"ul. Osiedlowa , Piława Górna, dzierżoniowski",50.681187,16.752176,parter/4,Zapytaj,spółdzielcze własnościowe,"balkon, taras",garaż/miejsce parkingowe,2023-12-31,2023,blok,tak,internet,"drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,pierwotny
461 630 zł,"71,02 m²","UNIKATOWA CENA - Nowe, Piękne Apartamenty 71,02 m2",3,do wykończenia,Współrzędne dokładne,"ul. Staroszkolna , Bolesławiec, bolesławiecki",51.266421,15.583083,1,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
500 565 zł,"77,01 m²","UNIKATOWA CENA - Nowe, Piękne Apartamenty 77,01 m2",4,do wykończenia,Współrzędne dokładne,"ul. Staroszkolna , Bolesławiec, bolesławiecki",51.266421,15.583083,1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",brak informacji,pierwotny
Zapytaj o cenę,"75,99 m²",4-pokojowe mieszkanie 75m2 + taras Bez Pośredników,4,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Żmudzka",51.14468,17.141409,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
855 436 zł,"62,54 m²",3-pokojowe mieszkanie 62m2 + 2 balkony,3,do wykończenia,Współrzędne dokładne,"Wrocław, Szczepin, Długa/ul. Gnieźnieńska",51.123956,17.014852,4/9,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
360 720 zł,"30,06 m²",Apartamenty w Sercu Gór,1,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Świeradów-Zdrój, lubański, dolnośląskie",50.9121,15.342,parter/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,internet,"domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
447 000 zł,74 m²,Mieszkanie z ogródkiem / balkonem - Rataje S8,3,do wykończenia,Współrzędne dokładne,"ul. Rubinowa , Oleśnica, oleśnicki",51.22531,17.379664,parter/1,61 zł,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,2023-09-30,2023,dom wolnostojący,nie,brak informacji,drzwi / okna antywłamaniowe,cegła,pierwotny
614 000 zł,"90,3 m²",Dom z fotowoltaiką w cenie mieszkania,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Dobrzykowice, wrocławski, dolnośląskie",51.098026,17.191433,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,internet,"domofon / wideofon, rolety antywłamaniowe",beton komórkowy,pierwotny
Zapytaj o cenę,"81,29 m²",2-pokojowe mieszkanie 81m2 + 2 balkony,2,do wykończenia,Współrzędne dokładne,"ul. Buforowa , Iwiny, wrocławski",51.055017,17.056856,parter/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"53,77 m²",3-pokojowe mieszkanie 53m2 + ogródek Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zielna",51.142647,17.116403,parter/2,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
429 000 zł,75 m²,APATRAMENT dwupoziomowy z Tarasem,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Oleśnica, oleśnicki",51.21343,17.38985,3/1,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,brak informacji,rolety antywłamaniowe,silikat,pierwotny
650 386 zł,"69,19 m²",4-pokojowe mieszkanie 69m2 + ogródek,4,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Zatorska",51.15878,17.14519,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
447 185 zł,"52,61 m²",3-pokojowe mieszkanie 52m2 + balkon Bezpośrednio,3,do wykończenia,Współrzędne dokładne,"Wrocław, Psie Pole, ul. Grodzieńska",51.138867,17.135979,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
475 700 zł,67 m²,"Przedsprzedaż, parter, 2 tarasy ul. Lutosławskiego",3,do wykończenia,Współrzędne dokładne,"Zabobrze, Jelenia Góra, Jelenia Góra",50.92169,15.747176,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",beton,pierwotny
